TITEL;START YEAR;END YEAR;DURATION;COUNTRY;CAPTAIN;PURPOSE;SHIP;SHIP TYPE;INFORMATION;;;;;;;;;;;;;;;;;;
Pedro Álvares Cabral Expedititon;1501;1502;1501-1502;Portugal & Italy;Gonçalo Coelho & Amerigo Vespucci;Expedition;;;"The expedition reached the latitude ""South Pole elevation 52° S.";;;;;;;;;;;;;;;;;;
Spice Island Expedition;1522;1522;1522;Portugal;Ferdinand Magellan;Expedition;;;"Magellan achieved a nearly complete personal circumnavigation of the globe for the first time in history. He also discovered the Strait of Magellan. Magellan's navigational skills have also been acknowledged in the naming of objects associated with stars, including the Magellanic Clouds, now known to be two nearby dwarf galaxies; the twin lunar craters of Magelhaens and Magelhaens A; and the Martian crater of Magelhaens.  Also the Magellanic penguin is named after him, as he was the first European to note it.";;;;;;;;;;;;;;;;;;
Drake Expedition;1578;1580;1578-1580;England;Francis Drake;Expedition;Golden Hind;Galleon;Drake carried out the second circumnavigation of the world in a single expedition, from 1577 to 1580, and was the first to complete the voyage as captain while leading the expedition throughout the entire circumnavigation. Also the Drake Passage was named after him.;;;;;;;;;;;;;;;;;;
First Dutch Expedition;1599;1604;1599-1604;Netherlands;Dirck Gerritszoon Pomp;Expedition;Blijde Boodschap;Galleon;According to the account of Jacob le Maire, Pomp observed mountainous land at latitude (64°). If so, these were the South Shetland Islands, and possibly the first European sighting of (isles off) Antarctica. Other accounts, however, do not note this observation, casting doubt on their accuracy.;;;;;;;;;;;;;;;;;;
Gabriel de Castilla Expedition;1603;1603;1603;Spain;Gabriel de Castilla;Suppress Privateers;Jesús María;Galleon;The expedition was entrusted to suppress the incursions of Dutch privateers in the seas to the south of Chile. this was also the farthest south that anyone had travelled.;;;;;;;;;;;;;;;;;;
Le Maire Expedition;1615;1615;1615;Netherlands;Jacob le Maire & Willem Schouten;Expedition;Hoorn;Sailing Ship with Guns;They were the first to sail around Cape Horn, which they named after their ship the Hoorn, which was lost in a fire. The strait between Tierra del Fuego and Isla de los Estados was named the Le Maire Strait. A main purpose of the voyage was to search for Terra Australis. Also they wanted to explore a western route to the Pacific Ocean to evade the trade restrictions of the Dutch East India Company (VOC) in the Spice Islands.;;;;;;;;;;;;;;;;;;
Garcia de Nodal Expedition;1619;1619;1619;Spain;Gonzalo García del Nodal & Brothers Bartolomé;Expedition;;;The García de Nodal Expedition was chartered by King Philip III of Spain to reconnoiter the passage between the Atlantic and Pacific oceans, rounding Cape Horn, south of Tierra del Fuego. Also they discovered the Diego Ramirez Islands. It was a successful expedition, as all goals were reached. In addition, neither lives nor ships were lost and the whole was done in a small amount of time.;;;;;;;;;;;;;;;;;;
Anthony de la Roché Expedition;1675;1675;1675;England;Anthony de la Roché;Expedition;;;They discovered South Georgia. The first land ever discovered south of the Antarctic Convergence.;;;;;;;;;;;;;;;;;;
Paramour Expedition;1698;1699;1698-1699;England;Edmond Halley;Expedition & Research;HMS Paramour;Sailing Ship with Guns;The first purely scientific voyage by an English naval vessel so far.;;;;;;;;;;;;;;;;;;
Speedwell Expedition;1720;1720;1720;England;Captain George Shelvocke;Plunder;Speedwell;Sailing Ship with Guns;Expedition was ment to to loot Spanish ships and settlements along the Pacific coast of America. The English had just renewed hostilities with Spain in the War of the Quadruple Alliance, and the ships carried letters of marque which gave them official permission to wage war on the Spanish and keep the profits.;;;;;;;;;;;;;;;;;;
South Atlantic Expedition;1739;1739;1739;France;Jean-Baptiste Charles Bouvet de Lozier;Expedition;Aigle;Sailing Ship with Guns;They discovered and named Bouvet Island.;;;;;;;;;;;;;;;;;;
HM Bark Endeavour expedition;1771;1771;1771;England;James Cook;Expedition & Mapping;HMS Endeavour;Sailing Ship with Guns;The expedition was primarily interested in landing on New Zealand and Australia. Endeavour became the first ship to reach the east coast of Australia.;;;;;;;;;;;;;;;;;;
First French Antarctic Expedition;1771;1772;1771-1772;France;Yves-Joseph de Kerguelen-Trémarec;Expedition;Fortune;Sailing Ship with Guns;In search of the legendary Terra Australis in the Antarctic, Kerguelen-Trémarec discovered and named the Kerguelen Islands and took possession of various territories for France. After his return it had become clear that the islands were bleak, largely useless, and certainly not the Terra Australis. On his return, Kerguelen-Trémarec was sent to prison.;;;;;;;;;;;;;;;;;;
Resolution Expedition;1772;1775;1772-1775;England;James Cook;Expedition & Mapping;Resolution;Sailing Ship with Guns;On 30 January 1774 James Cook reached 71° 10_ S, his Farthest South. Approaching within about 75 miles of the Antarctic mainland without seeing it.;;;;;;;;;;;;;;;;;;
William Smith Expedition;1819;1819;1819;England;William Smith;Expedition;HMS Andromache;Sailing Ship with Guns;They discovered the South Shetland Islands, the first land that has been discovered south on 60° south latitude.;;;;;;;;;;;;;;;;;;
San Telmo Expedition;1819;1819;1819;Spain;Joaquín de Toledo y Parra;Reinforce Colonial Forces;San Telmo;Warship with Guns;The 644 officers, soldiers and seamen lost on board the San Telmo were the first known people to die in Antarctica, as parts of her wreckage were found months later by the early sealers visiting Livingston Island. If somebody of the San Telmo would have survived to set foot there they would have been the first known person in history to reach Antarctica. San Telmo Island off the north coast of Livingston Island is named after their ship.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
