date;south;country;duration;captain;information
1501;52;Portugal & Italy;1501-1502;Gonzalo Coelho & Amerigo Vespucci;"The expedition reached the latitude ""South Pole elevation 52째 S."
1522;54;Portugal;1522;Ferdinand Magellan;"Magellan achieved a nearly complete personal circumnavigation of the globe for the first time in history. He also discovered the Strait of Magellan. Magellan's navigational skills have also been acknowledged in the naming of objects associated with stars, including the Magellanic Clouds, now known to be two nearby dwarf galaxies; the twin lunar craters of Magelhaens and Magelhaens A; and the Martian crater of Magelhaens.  Also the Magellanic penguin is named after him, as he was the first European to note it."
1578;58;England;1578-1580;Francis Drake;Drake carried out the second circumnavigation of the world in a single expedition, from 1577 to 1580, and was the first to complete the voyage as captain while leading the expedition throughout the entire circumnavigation. Also the Drake Passage was named after him.
1599;64;Netherlands;1599-1604;Dirck Gerritszoon Pomp;According to the account of Jacob le Maire, Pomp observed mountainous land at latitude (64째). If so, these were the South Shetland Islands, and possibly the first European sighting of (isles off) Antarctica. Other accounts, however, do not note this observation, casting doubt on their accuracy.
1603;64;Spain;1603;Gabriel de Castilla;The expedition was entrusted to suppress the incursions of Dutch privateers in the seas to the south of Chile. this was also the farthest south that anyone had travelled.
1615;56;Netherlands;1615;Jacob le Maire & Willem Schouten;They were the first to sail around Cape Horn, which they named after their ship the Hoorn, which was lost in a fire. The strait between Tierra del Fuego and Isla de los Estados was named the Le Maire Strait. A main purpose of the voyage was to search for Terra Australis. Also they wanted to explore a western route to the Pacific Ocean to evade the trade restrictions of the Dutch East India Company (VOC) in the Spice Islands.
1619;56;Spain;1619;Gonzalo Garcca del Nodal & Brothers Bartolome;The Garcca de Nodal Expedition was chartered by King Philip III of Spain to reconnoiter the passage between the Atlantic and Pacific oceans, rounding Cape Horn, south of Tierra del Fuego. Also they discovered the Diego Ramirez Islands. It was a successful expedition, as all goals were reached. In addition, neither lives nor ships were lost and the whole was done in a small amount of time.
1675;54;England;1675;Anthony de la Roche;They discovered South Georgia. The first land ever discovered south of the Antarctic Convergence.
1698;52;England;1698-1699;Edmond Halley;The first purely scientific voyage by an English naval vessel so far.
1720;61;England;1720;Captain George Shelvocke;Expedition was ment to to loot Spanish ships and settlements along the Pacific coast of America. The English had just renewed hostilities with Spain in the War of the Quadruple Alliance, and the ships carried letters of marque which gave them official permission to wage war on the Spanish and keep the profits.
1739;54;France;1739;Jean-Baptiste Charles Bouvet de Lozier;They discovered and named Bouvet Island.
1771;54;England;1771;James Cook;The expedition was primarily interested in landing on New Zealand and Australia. Endeavour became the first ship to reach the east coast of Australia.
1771;49;France;1771-1772;Yves-Joseph de Kerguelen-Tremarec;In search of the legendary Terra Australis in the Antarctic, Kerguelen-Tremarec discovered and named the Kerguelen Islands and took possession of various territories for France. After his return it had become clear that the islands were bleak, largely useless, and certainly not the Terra Australis. On his return, Kerguelen-Tremarec was sent to prison.
1772;71;England;1772-1775;James Cook;On 30 January 1774 James Cook reached 71째 10_ S, his Farthest South. Approaching within about 75 miles of the Antarctic mainland without seeing it.
1819;58;England;1819;William Smith;They discovered the South Shetland Islands, the first land that has been discovered south on 60째 south latitude.
1819;69;Spain;1819;Joaquin de Toledo y Parra;The 644 officers, soldiers and seamen lost on board the San Telmo were the first known people to die in Antarctica, as parts of her wreckage were found months later by the early sealers visiting Livingston Island. If somebody of the San Telmo would have survived to set foot there they would have been the first known person in history to reach Antarctica. San Telmo Island off the north coast of Livingston Island is named after their ship.
